gene	min_pvalue
ANLN:54443	0.003204
LOC101928236:101928236|LOC105374179:105374179	0.052770000000000004
LOC105379601:105379601	0.7089
HSPG2:3339	0.00352
OR5B2:390190	0.127
SOX9-AS1:400618	0.023530000000000002
LOC105374304:105374304	0.1972
LOC105375922:105375922	0.08686
LOC102724001:102724001	0.001382
LOC105377477:105377477	0.0028710000000000003
NASP:4678	0.039889999999999995
C15orf48:84419	0.03899
LAMB2:3913	0.17
LDB2:9079|LOC105374505:105374505	0.01295
NEURL4:84461	0.01469
LOC105376914:105376914	0.3218
LOC105376382:105376382	0.01519
LOC107984814:107984814	0.013130000000000001
SRRT:51593|UFSP1:402682	0.5925
LOC107985787:107985787|SNED1:25992	0.006726
LOC107987167:107987167	0.02186
ZFPM2:23414	1.249e-05
LOC105377896:105377896	0.020659999999999998
GNA15:2769	0.02286
LOC401312:401312	0.043230000000000005
LOC105371722:105371722	0.1644
LOC105373159:105373159	0.1687
SNHG16:100507246|SNORD1A:677848|SNORD1B:677849	0.8458
ZBED5:58486|ZBED5-AS1:729013	0.08652
ITGB3:3690	0.02814
NABP2:79035	0.2397
LOC107985173:107985173|LOC105371995:105371995	0.04216
LOC107987268:107987268	0.133
MMACHC:25974|CCDC163:126661	0.5467
PLXNB2:23654	0.01847
ID2-AS1:100506299	0.01425
LOC107986191:107986191	0.0007157999999999999
DDX11:1663	0.01198
LOC101928739:101928739	0.07755
ADGRG6:57211	0.008995
LOC107985785:107985785|LOC105373805:105373805	0.08786000000000001
LOC107987405:107987405	0.1621
LOC105369205:105369205	0.08815
FOXL2:668|FOXL2NB:401089	0.03027
MIR670HG:100507261	0.1447
MIR526A1:574475|LOC107985346:107985346|MIR520C:574476	0.2594
LOC102724577:102724577	0.3037
FAM151B:167555|LOC105379049:105379049	0.1648
LOC101929967:101929967	0.1384
LOC105370234:105370234|LOC105370233:105370233	0.1596
IGBP1P1:280655|SRP54-AS1:100506157	0.0456
LOC105373708:105373708	0.009569
DNM3OS:100628315|MIR199A2:406977|DNM3:26052	0.09957
NSD3:54904	0.02395
KRT27:342574	0.007423999999999999
MBL1P:8512|BMS1P21:100288974	0.05058
LOC105375538:105375538	0.01968
SIGMAR1:10280	0.2753
KIAA1024:23251	0.001739
LOC107987027:107987027	0.07028
LOC105373764:105373764|PDE11A:50940	0.1132
MAP3K7CL:56911	0.01096
LOC105373734:105373734	0.0045520000000000005
