FID	IID	pop	sex	phase	igrowth
NA06984	NA06984	CEU	1	III	58258
NA06985	NA06985	CEU	2	I	53965
NA06986	NA06986	CEU	1	III	99738
NA06989	NA06989	CEU	2	III	96403
NA06991	NA06991	CEU	2	I	98164
NA06993	NA06993	CEU	1	I	89268
NA06994	NA06994	CEU	1	I	76120
NA06995	NA06995	CEU	1	III	73315
NA06997	NA06997	CEU	2	III	52988
NA07000	NA07000	CEU	2	I	65712
NA07014	NA07014	CEU	2	III	57226
NA07019	NA07019	CEU	2	I	72592
NA07022	NA07022	CEU	1	I	62669
NA07029	NA07029	CEU	1	I	89522
NA07031	NA07031	CEU	2	III	85513
NA07034	NA07034	CEU	1	I	60681
NA07037	NA07037	CEU	2	III	92980
NA07045	NA07045	CEU	2	III	68952
NA07048	NA07048	CEU	1	I	84592
NA07051	NA07051	CEU	1	III	58146
NA07055	NA07055	CEU	2	I	66957
NA07056	NA07056	CEU	2	I	89348
NA07345	NA07345	CEU	2	I	68450
NA07346	NA07346	CEU	2	III	54272
NA07347	NA07347	CEU	1	III	75009
NA07348	NA07348	CEU	2	I	70671
NA07349	NA07349	CEU	1	III	79111
NA07357	NA07357	CEU	1	I	91716
NA07435	NA07435	CEU	1	III	71441
NA10830	NA10830	CEU	1	I	84730
NA10831	NA10831	CEU	2	I	51971
NA10835	NA10835	CEU	1	I	69106
NA10836	NA10836	CEU	2	III	68169
NA10837	NA10837	CEU	1	III	84044
NA10838	NA10838	CEU	1	I	86108
NA10839	NA10839	CEU	2	I	75355
NA10840	NA10840	CEU	2	III	78141
NA10842	NA10842	CEU	1	III	89278
NA10843	NA10843	CEU	2	III	72686
NA10845	NA10845	CEU	1	III	89320
NA10846	NA10846	CEU	1	I	38086
NA10847	NA10847	CEU	2	I	80792
NA10850	NA10850	CEU	2	III	72835
NA10851	NA10851	CEU	1	I	82741
NA10852	NA10852	CEU	2	III	89844
NA10853	NA10853	CEU	1	III	88490
NA10854	NA10854	CEU	2	I	86728
NA10855	NA10855	CEU	2	I	56817
NA10856	NA10856	CEU	1	I	69369
NA10857	NA10857	CEU	1	I	88119
NA10859	NA10859	CEU	2	I	75166
NA10860	NA10860	CEU	1	I	79977
NA10861	NA10861	CEU	2	I	50099
NA10863	NA10863	CEU	2	I	69519
NA10864	NA10864	CEU	2	III	63197
NA10865	NA10865	CEU	1	III	68557
NA11829	NA11829	CEU	1	I	41364
NA11830	NA11830	CEU	2	I	60233
NA11831	NA11831	CEU	1	I	82845
NA11832	NA11832	CEU	2	I	85093
NA11839	NA11839	CEU	1	I	64357
NA11840	NA11840	CEU	2	I	64208
NA11843	NA11843	CEU	1	III	82830
NA11881	NA11881	CEU	1	I	51495
NA11882	NA11882	CEU	2	I	42328
NA11891	NA11891	CEU	1	III	73541
NA11892	NA11892	CEU	2	III	50025
NA11893	NA11893	CEU	1	III	61485
NA11894	NA11894	CEU	2	III	83247
NA11917	NA11917	CEU	1	III	81964
NA11918	NA11918	CEU	2	III	76359
NA11919	NA11919	CEU	1	III	51208
NA11920	NA11920	CEU	2	III	65374
NA11930	NA11930	CEU	1	III	58979
NA11931	NA11931	CEU	2	III	62035
NA11992	NA11992	CEU	1	I	89005
NA11993	NA11993	CEU	2	I	76079
NA11994	NA11994	CEU	1	I	74273
NA11995	NA11995	CEU	2	I	83864
NA12003	NA12003	CEU	1	I	59917
NA12004	NA12004	CEU	2	I	58697
NA12005	NA12005	CEU	1	I	91434
NA12006	NA12006	CEU	2	I	65752
NA12043	NA12043	CEU	1	I	92938
NA12044	NA12044	CEU	2	I	74363
NA12045	NA12045	CEU	1	III	70841
NA12056	NA12056	CEU	1	I	81388
NA12057	NA12057	CEU	2	I	64628
NA12058	NA12058	CEU	2	III	75800
NA12144	NA12144	CEU	1	I	69061
NA12145	NA12145	CEU	2	I	81837
NA12146	NA12146	CEU	1	I	85336
NA12154	NA12154	CEU	1	I	70645
NA12155	NA12155	CEU	1	I	78674
NA12156	NA12156	CEU	2	I	56884
NA12234	NA12234	CEU	2	I	80480
NA12239	NA12239	CEU	2	I	82934
NA12248	NA12248	CEU	1	I	79157
NA12249	NA12249	CEU	2	I	91110
NA12264	NA12264	CEU	1	I	51435
NA12272	NA12272	CEU	1	III	54977
NA12273	NA12273	CEU	2	III	74635
NA12274	NA12274	CEU	1	III	97670
NA12275	NA12275	CEU	2	III	57268
NA12282	NA12282	CEU	1	III	79856
NA12283	NA12283	CEU	2	III	60240
NA12286	NA12286	CEU	1	III	71012
NA12287	NA12287	CEU	2	III	63202
NA12335	NA12335	CEU	1	III	72907
