gene beta t p se(beta)
ENSG00000000457.9 2970.08804905987 0.492865446389667 0.622828377402499 6026.16407949946
ENSG00000001167.10 990.930029887492 0.169973966857543 0.865259641298725 5829.89294306464
ENSG00000001631.10 487.155173064543 0.0489099178848971 0.961056148626801 9960.25334188858
ENSG00000002016.12 8719.51104536012 1.15154778618392 0.251339115180269 7571.99236538453
ENSG00000002549.8 1897.0731188238 0.201329712305805 0.840713527783458 9422.71807323845
ENSG00000002587.5 289.793939886917 0.0176551503759456 0.985937421756739 16414.1303651398
ENSG00000003393.10 -6912.84755774196 -1.61650960436561 0.108085378280457 4276.40364095137
ENSG00000003509.11 19460.6815051124 1.61677876746814 0.10802718864152 12036.7003183668
ENSG00000004455.12 -574.98518142593 -0.0500807072025775 0.960124698807588 11481.1713640565
ENSG00000004468.8 1052.94977989422 NA NA 9.03546769141351e-117
ENSG00000004534.10 -12291.6162622532 -1.54085460392524 0.12545913367664 7977.14218521397
ENSG00000004660.10 -1735.4383958489 -0.201822483961531 0.840328952816751 8598.83577778029
ENSG00000004700.11 -7226.17648278706 -1.42446826789483 0.156388101840249 5072.89396728112
ENSG00000004766.11 -2091.7104904122 -0.370834733992283 0.711283818166129 5640.54630992502
ENSG00000005102.8 1052.94977989422 NA NA 9.03546769141351e-117
ENSG00000005156.7 4329.43580748033 0.977001985767741 0.330141207333744 4431.34801213142
ENSG00000005483.15 36015.3960900599 0.979237895651337 0.329039158463878 36779.0056430612
ENSG00000005882.7 -7666.42387538268 -1.46361217423298 0.145392361694368 5238.01592412988
ENSG00000005884.13 1268.98423537352 0.289389092269021 0.772683240252119 4385.04514950359
ENSG00000005955.8 -28295.9431102544 -1.23020835128846 0.220544928198263 23000.9356387628
ENSG00000006015.13 1052.94977989422 NA NA 9.03546769141351e-117
ENSG00000006282.15 960.7890567213 0.174527107710427 0.861686568711634 5505.09928987894
ENSG00000006634.3 -286321.228042989 -2.51377405663709 0.0130003987356966 113900.940017667
ENSG00000006638.7 7041.13549649649 0.152007118820154 0.879385581724032 46321.090427529
ENSG00000006695.6 -11516.1488574283 -1.45302764373416 0.148304887560036 7925.6226865944
ENSG00000006712.10 11777.5937373027 0.486869656255383 0.627061373068131 24190.4451961263
ENSG00000006715.11 1123.30720302818 0.437686094196765 0.662243422286379 2566.46765323824
ENSG00000006740.12 -7655.09220503243 -0.860451382934326 0.390913490801671 8896.60050161917
ENSG00000007255.6 3623.04835804536 0.475071682887061 0.635426884711887 7626.31932938565
ENSG00000007341.14 9861.97888088808 1.02135993426405 0.308728370633216 9655.73305750848
