gene	before	after
PLGRKT	0.01266	0.008822607183089673
PNPLA2	0.06343	0.025269627257599386
USP14	0.005951	0.029000004882240762
CDC37L1	0.02254	0.043590006703421814
CDC37L1-AS1	0.02254	0.0745972343926505
RCL1	0.1524	0.09613998862314957
CD151	0.04617	0.09793283881899284
GZMM	0.06234	0.11120000448945966
CASP9	0.03167	0.13035741480933916
IFITM5	0.05848	0.13473804462319253
IRF7	0.4509	0.1379000019797368
VLDLR	0.002729	0.1426079729131312
RFX3-AS1	0.00994	0.1552780601860407
SIGIRR	0.5986	0.20239998224689448
IFITM3	0.1492	0.21699998078132526
HOOK2	0.1709	0.2195999905851004
POLR2L	0.172	0.2228999923765993
NLRP6	0.0562	0.22463741219154376
C9orf66	0.06439	0.22717677791750235
DOCK8	0.016890000000000002	0.2363233387938635
LMNTD2	0.008320000000000001	0.28065487725166616
TSPAN4	0.172	0.2812000070212849
IFITM1	0.6946	0.32609999832212433
PRTN3	0.1031	0.34369999977327703
AZU1	0.02401	0.34369999977327703
PTBP1	0.0199	0.3494999985774457
MIER2	0.09542	0.37324769254868906
RIC8A	0.3942	0.4012999930610033
PHRF1	0.3219	0.4341999985291177
IFFO2	0.08941	0.4357292437460676
ELANE	0.09159	0.4440999998913819
PGGHG	0.007334999999999999	0.4483999843928848
ARID3A	0.05076	0.4555000095845903
TYMS	0.03883	0.4768000084837206
PALM	0.1208	0.4908000056628451
CRACR2B	0.07124	0.4922000150763388
PSMD13	0.07194	0.5140999850251395
PLEKHM2	0.001813	0.5254879467738562
CD274	0.08796	0.5288000023750008
PRSS57	0.05962000000000001	0.534838601612032
SHC2	0.2632	0.5516999888323614
CENPN	0.1327	0.5529999913817998
EMC1	0.09917	0.5644400699242315
WDR18	0.03449	0.5832786693297625
PRKCZ	0.01771	0.5921868392811502
DDI2	0.05354	0.5930466464748434
DNAJC16	0.5171	0.6141219003241023
COLEC12	0.001505	0.6437999984967442
UHRF2	0.02046	0.6446999991695703
LINC01011	0.4221	0.6556999934754923
ALKAL2	0.1611	0.6738999996115951
RERE	0.009552	0.6789475491664456
SLC25A34	0.1234	0.6801765401705911
BET1L	0.3942	0.690863768454995
AP2A2	0.7693	0.6911000104781851
EXOC2	0.1646	0.6951990043404943
FLVCR1-AS1	0.1594	0.7291999924980151
FLVCR1	0.1594	0.7291999924980151
CAPZB	0.0006022	0.7644825985380095
RFTN1	0.04227	0.7708999944219413
MRTO4	0.1678	0.7840867600423685
SLC25A33	0.01347	0.7855303713487551
CTRC	0.03913	0.7924376495279468
RSG1	0.2324	0.7928314579901108
EFHD2	0.114	0.7956530260669424
FAM110C	0.009614	0.8093999953764113
CENPS	0.1084	0.821320647863788
AGMAT	0.09977	0.8324544138550767
PIK3CD	0.0341	0.8601096604136492
CORT	0.1084	0.8634482781482218
UBR4	0.01013	0.8709915691505424
SPSB1	0.002531	0.8738371603248428
PLPP2	0.07603	0.8758000028490467
AKR7A3	0.179	0.8801168493575626
LINC01772	0.09787	0.8816167687118717
IL33	0.07986	0.8833000027667479
RER1	0.006509999999999999	0.8862226706144956
TPGS1	0.02881	0.88690000418183
ZBTB17	0.01052	0.8877284449590167
B4GALNT4	0.05449	0.8883859739376262
GABRD	0.03636	0.8924335000442543
AKR7A2	0.1587	0.8997605236581576
KANK1	0.1871	0.9000999974622635
ESPN	0.1657	0.9008778344763948
SPEN	0.0005231	0.9084317129086842
PGD	0.01476	0.9119472888940938
PQLC2	0.1587	0.9215071864098864
CTNNBIP1	0.01217	0.9221955007004206
SLC25A22	0.2082	0.9225000007147841
KISS1R	0.8702	0.9232039395414772
CLSTN1	0.1498	0.9264431038737296
ARHGEF19	0.07653	0.9266957248881654
UTS2	0.4899	0.9291452008824428
HTR6	0.029210000000000007	0.9325859332220572
RASSF7	0.0004975	0.9357589831501304
PHF13	0.3217	0.9384008366869816
TNFRSF14	0.3775	0.941867454144672
MEGF6	0.5133	0.9451776938152066
PLA2G2A	0.2031	0.9475621628245392
LRRC47	0.07956	0.9482696787834936
FBXO42	0.06577000000000001	0.9490888520425051
HSPB7	0.07497000000000001	0.9494303726122112
NECAP2	0.5985	0.9494580585261534
RBP7	0.05974	0.9502694075308098
DFFB	0.9804	0.9503427690771552
PANK4	0.04303	0.9506862177398322
SLC2A5	0.01505	0.9544272568931748
FAAP20	0.1174	0.9550942828726926
PEX14	0.1912	0.9556417924167621
SMIM1	0.2659	0.9557247405256376
PARK7	0.02004	0.9558057902626091
PLA2G2C	0.04899	0.9567368027097192
MMEL1	0.3801	0.9575704378602968
MINOS1	0.1091	0.9593137660993056
FAM213B	0.3801	0.9594650437067336
ZBTB48	0.33	0.9606789560273176
GPR157	0.1313	0.9618667121923424
RPL22	0.004541	0.96521755876366
UBE4B	0.005784	0.9662753671946211
PLCH2	0.5725	0.9696914168086388
C1orf174	0.0126	0.9707161924715364
ACOT7	0.009943	0.970863346949402
FHAD1	0.03228	0.9718676744749912
UQCRHL	0.0006772999999999999	0.9735811435403612
NPHP4	0.2689	0.9741988789632704
TMEM51	0.005194	0.9745815606681136
H6PD	0.02902	0.9748520737300164
GPR153	0.2362	0.9750341103865192
TTC34	0.101	0.975318857965986
THAP3	0.02328	0.9758628327895468
PER3	0.0926	0.976917114779434
PDPN	0.005947	0.978472324226312
TNFRSF25	0.04626	0.9823975656983523
PLEKHG5	0.04626	0.9834993733382712
NBL1	0.1091	0.9836287528168146
LZIC	0.09868	0.9838058113629848
TMCO4	0.0062840000000000005	0.9848432753228856
KIF1B	0.001837	0.9852449305292706
RNF207	0.2109	0.9905987124914352
ICMT	0.2109	0.9907543679333359
ERRFI1	0.06348	0.9920256098753985
MORN1	0.027610000000000003	0.9921338229225164
WRAP73	0.6898	0.9926169139428778
ALDH4A1	0.3508	0.992934885365976
MIR34AHG	0.2036	0.9940756055585256
LINC01134	0.02153	0.994143871183926
KCNAB2	0.2689	0.9959766036436952
VAMP3	0.8059	0.9966077561594574
CEP104	0.1146	0.9968044584452154
TNFRSF9	0.3361	0.9990140576593108
OTUD3	0.0886	0.9996020538993134
TP73	0.4858	0.9998228382083608
PLA2G2D	0.02698	nan
