PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000273311.1.DGCR11.wgt.RDat	DGCR11	22	19033675	19035888	0.0551	rs2238767	-2.98	rs2283641	 0.013728	  4.33	 2.5818	408	 6	enet	 0.002847	1.63e-01	 2.6623	7.76e-03
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000100075.5.SLC25A1.wgt.RDat	SLC25A1	22	19163095	19166343	0.0740	rs2238767	-2.98	rs762523	 0.080367	  5.36	-1.8211	406	 2	lasso	 0.075539	1.77e-07	-1.8547	6.36e-02
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000070371.11.CLTCL1.wgt.RDat	CLTCL1	22	19166986	19279239	0.1620	rs4819843	 3.04	rs809901	 0.072193	  5.53	-1.9928	456	19	enet	 0.085305	2.83e-08	-1.8804	6.00e-02
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000232926.1.AC000078.5.wgt.RDat	AC000078.5	22	19874812	19875493	0.2226	rs5748555	-3.15	rs13057784	 0.052796	  5.60	-0.1652	514	44	enet	 0.099315	1.99e-09	 0.0524	9.58e-01
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000185252.13.ZNF74.wgt.RDat	ZNF74	22	20748405	20762745	0.1120	rs595272	 4.09	rs1005640	 0.001422	  3.44	-1.3677	301	 8	enet	 0.008042	5.45e-02	-0.8550	3.93e-01
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000099940.7.SNAP29.wgt.RDat	SNAP29	22	21213771	21245506	0.1286	rs595272	 4.09	rs4820575	 0.061763	  5.94	-1.1978	416	27	enet	 0.078915	9.40e-08	-1.0354	3.00e-01
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000272600.1.AC007308.7.wgt.RDat	AC007308.7	22	21243494	21245502	0.2076	rs595272	 4.09	rs165783	 0.100625	  6.79	-0.8871	408	12	lasso	 0.164447	5.44e-15	-1.2049	2.28e-01
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000183773.11.AIFM3.wgt.RDat	AIFM3	22	21319396	21335649	0.0676	rs595272	 4.09	rs565979	 0.036672	  4.50	-0.4474	362	 5	lasso	 0.025126	2.04e-03	-0.3667	7.14e-01
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000230513.1.THAP7-AS1.wgt.RDat	THAP7-AS1	22	21356175	21357118	0.2382	rs595272	 4.09	rs2239961	 0.105307	 -7.04	-0.3783	347	 5	lasso	 0.151404	7.57e-14	 0.2292	8.19e-01
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000185651.10.UBE2L3.wgt.RDat	UBE2L3	22	21921836	21978323	0.0588	rs6000857	-4.01	rs4821130	 0.003454	  3.81	 1.4146	320	22	enet	 0.009579	4.00e-02	 0.9837	3.25e-01
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000100034.9.PPM1F.wgt.RDat	PPM1F	22	22273793	22307209	0.1936	rs366116	 4.09	rs9607473	 0.128716	 -6.91	 0.1582	401	13	enet	 0.148872	1.26e-13	 1.1073	2.68e-01
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000224086.3.LL22NC03-86G7.1.wgt.RDat	LL22NC03-86G7.1	22	22292609	22297799	0.0924	rs366116	 4.09	rs5755694	 0.022489	  4.80	 2.3685	400	14	enet	 0.055110	7.91e-06	 2.0231	4.31e-02
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000100038.15.TOP3B.wgt.RDat	TOP3B	22	22311397	22337213	0.0814	rs366116	 4.09	rs9610728	 0.084084	 -5.71	 0.2342	399	 6	lasso	 0.076382	1.51e-07	-0.0722	9.42e-01
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000186716.15.BCR.wgt.RDat	BCR	22	23521891	23660224	0.1211	rs9624230	 3.00	rs13055979	 0.018598	  4.76	-0.4571	424	24	enet	 0.084867	3.07e-08	-0.1968	8.44e-01
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000272733.1.KB-208E9.1.wgt.RDat	KB-208E9.1	22	23923067	23926046	0.2646	rs12484556	 3.50	rs28382576	-0.000663	  5.50	 1.4149	444	35	enet	 0.081591	5.69e-08	 1.3633	1.73e-01
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000189269.8.C22orf43.wgt.RDat	C22orf43	22	23950639	23974508	0.3756	rs12484556	 3.50	rs3747102	 0.138566	 -8.04	-1.1525	457	18	enet	 0.345887	5.90e-33	 0.8724	3.83e-01
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000218537.1.AP000350.4.wgt.RDat	AP000350.4	22	24238016	24241117	0.2997	rs12484556	 3.07	rs5751770	 0.279303	 -9.76	 0.3668	396	 9	lasso	 0.285680	1.65e-26	-0.2879	7.73e-01
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000272787.1.KB-226F1.2.wgt.RDat	KB-226F1.2	22	24311400	24312062	0.1395	rs12484556	 3.20	rs5751770	 0.156167	  7.47	 0.3668	382	14	enet	 0.151390	7.59e-14	 0.3880	6.98e-01
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000235231.3.AP000351.10.wgt.RDat	AP000351.10	22	24373117	24374043	0.4686	rs12484556	 3.28	rs4822458	 0.264687	 -9.51	 1.2873	356	36	enet	 0.270309	5.98e-25	-0.5039	6.14e-01
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000184674.8.GSTT1.wgt.RDat	GSTT1	22	24376133	24384680	0.3310	rs12484556	 3.29	rs4822458	 0.201055	 -8.82	 1.2873	364	52	enet	 0.230900	4.33e-21	-0.5068	6.12e-01
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000272977.1.CTA-390C10.10.wgt.RDat	CTA-390C10.10	22	25872185	25875938	0.1834	rs16986560	-3.57	rs6004658	 0.156814	 -7.42	-2.6230	491	 3	lasso	 0.152355	6.26e-14	 2.6237	8.70e-03
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000100109.12.TFIP11.wgt.RDat	TFIP11	22	26890763	26908471	0.3334	rs9625074	-3.78	rs12628373	 0.283127	 -9.84	-0.4798	774	 5	lasso	 0.275431	1.82e-25	 0.4722	6.37e-01
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000260065.1.CTA-445C9.15.wgt.RDat	CTA-445C9.15	22	26917949	26921002	0.4548	rs9625074	-3.78	rs4275	 0.396013	 11.85	-0.6581	761	38	enet	 0.417874	1.78e-41	-0.3821	7.02e-01
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000244625.1.CTA-211A9.5.wgt.RDat	CTA-211A9.5	22	27089644	27176170	0.2051	rs9625074	-3.78	rs7291023	 0.015818	  4.10	 0.6679	931	19	enet	 0.080562	6.90e-08	 1.0631	2.88e-01
